staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.10322719998657703,,0.08525660028681159,0.10322719998657703,0.5022368999198079,0.5022368999198079,0.6187916002236307,0.8020005002617836,1.1406479002907872,left,-10.0,1,1,0.6230137003585696,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
1,2,8.0,1.1524038999341428,,1.1409066002815962,1.1524038999341428,1.6521533001214266,1.6521533001214266,1.6521533001214266,1.9548873002640903,2.0856750002130866,right,8.0,1,1,0.42208460019901395,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
2,2,6.0,2.1014020000584424,,2.0858765998855233,2.1014020000584424,2.602568699978292,2.602568699978292,2.602568699978292,2.9189901002682745,3.101762500125915,left,-6.0,1,1,0.48473899997770786,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
3,2,4.0,3.117566500324756,,3.101934500038624,3.117566500324756,3.601489699911326,3.601489699911326,3.6169902002438903,3.918001600075513,4.085768599994481,right,4.0,1,1,0.4822360002435744,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
4,2,2.0,4.100617399904877,,4.085951399989426,4.100617399904877,4.584773300215602,4.584773300215602,4.600446600001305,4.884995799977332,5.067849200218916,right,2.0,1,1,0.4684052998200059,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
5,1,1.0,5.083269900176674,,5.068055100273341,5.083269900176674,5.568024800159037,5.568024800159037,5.583963800221682,5.884031699970365,6.185602500103414,left,-1.0,0,0,0.6048964997753501,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
6,1,2.0,6.200115200132132,,6.185781900305301,6.200115200132132,6.699764899909496,6.699764899909496,6.715671600308269,6.9997387998737395,7.167808699887246,left,-2.0,1,1,0.4667174997739494,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
7,1,2.0,7.1829798999242485,,7.167982600163668,7.1829798999242485,7.665987600106746,7.665987600106746,7.682034499943256,7.966091699898243,8.217399599961936,left,-2.0,1,1,0.549834200181067,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
8,1,2.0,8.231998899951577,,8.217574700247496,8.231998899951577,8.733093299902976,8.733093299902976,8.733093299902976,9.049534699879587,9.215544400271028,left,-2.0,1,1,0.46765190036967397,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
9,1,1.0,9.233247800264508,,9.215726600028574,9.233247800264508,9.714890300296247,9.714890300296247,9.747955900151283,10.014723599888384,10.467006700113416,left,-1.0,1,1,0.7421985003165901,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
10,1,1.0,10.481585199944675,,10.46720500010997,10.481585199944675,10.980684200301766,10.980684200301766,10.980684200301766,11.280918800272048,11.565335500054061,left,-1.0,1,1,0.5777011001482606,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
11,1,1.0,11.580448800232261,,11.565515300258994,11.580448800232261,12.080965400207788,12.080965400207788,12.080965400207788,12.381205799989402,12.630494700279087,left,-1.0,1,1,0.543132399674505,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
12,1,1.0,12.646347499918193,,12.630691499914974,12.646347499918193,13.130300300195813,13.130300300195813,13.147579499986023,13.431613800115883,13.630524000152946,right,1.0,1,1,0.49828230030834675,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
13,1,1.0,13.646395300049335,,13.630693400278687,13.646395300049335,14.145821399986744,14.145821399986744,14.145821399986744,14.446173999924213,14.73029450001195,left,-1.0,1,1,0.5726012997329235,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
14,1,1.0,14.745742800179869,,14.730470899958163,14.745742800179869,15.23115130001679,15.23115130001679,15.246513099875301,15.54666869994253,15.747942599933594,left,-1.0,1,1,0.5060087000019848,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
15,1,1.0,15.76247930014506,,15.74812539992854,15.76247930014506,16.26292059989646,16.26292059989646,16.26292059989646,16.56355779990554,16.91482920013368,left,-1.0,1,1,0.6504450999200344,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
16,1,1.0,16.930018300190568,,16.915021700318903,16.930018300190568,17.427895000204444,17.427895000204444,17.44473520014435,17.727427400182933,17.878818199969828,left,-1.0,1,1,0.4492489998228848,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
17,1,1.0,17.894551699981093,,17.87899099988863,17.894551699981093,18.394598700106144,18.394598700106144,18.394598700106144,18.709510600194335,18.844870400149375,left,-1.0,1,1,0.44583910005167127,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
18,1,1.0,18.860044500324875,,18.845050000119954,18.860044500324875,19.343492799904197,19.343492799904197,19.360862200148404,19.64337809989229,19.7932664998807,left,-1.0,1,1,0.4439977998845279,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
19,1,1.0,19.80952910007909,,19.79348240001127,19.80952910007909,20.29330789996311,20.29330789996311,20.310219699982554,20.59312350023538,20.87771870009601,right,1.0,1,1,0.5732519002631307,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
20,1,1.0,20.893630099948496,,20.877935300115496,20.893630099948496,21.393910800106823,21.393910800106823,21.409717299975455,21.6927010002546,21.84328110003844,right,1.0,1,1,0.44105800008401275,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
21,1,1.0,21.8591926000081,,21.843480499926955,21.8591926000081,22.343252600170672,22.343252600170672,22.35875750007108,22.65871150000021,22.793137300293893,right,1.0,1,1,0.4332480998709798,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
22,1,1.0,22.80824750009924,,22.79337800014764,22.80824750009924,23.292116600088775,23.292116600088775,23.308639500290155,23.59203079994768,23.776017799973488,right,1.0,1,1,0.4715934996493161,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
23,1,1.0,23.79203339992091,,23.776232700329274,23.79203339992091,24.29143840027973,24.29143840027973,24.29143840027973,24.590997999999672,24.892098700162023,left,-1.0,1,1,0.590972900390625,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
24,1,1.0,24.907351300120354,,24.892301300074905,24.907351300120354,25.407248999923468,25.407248999923468,25.407248999923468,25.706959700211883,25.9418863998726,right,1.0,1,1,0.5221445001661777,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
25,0.5,1.0,25.956655300222337,,25.94206380005926,25.956655300222337,26.456663500051945,26.456663500051945,26.456663500051945,26.7561197001487,27.044455900322646,left,-1.0,0,0,0.5709714000113308,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
26,0.5,1.5,27.059503300115466,,27.044697100296617,27.059503300115466,27.556305200327188,27.556305200327188,27.57286430010572,27.855665100272745,28.12328110029921,left,-1.5,1,1,0.5520914001390338,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
27,0.5,1.5,28.13944480009377,,28.12350849993527,28.13944480009377,28.63936940021813,28.63936940021813,28.63936940021813,28.9383140001446,29.239628800190985,right,1.5,1,1,0.5894677001051605,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
28,0.5,1.5,29.256001600064337,,29.23980149999261,29.256001600064337,29.755410199984908,29.755410199984908,29.755410199984908,30.054985800292343,30.2393165002577,right,1.5,1,1,0.471879499964416,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
29,0.5,1.0,30.255373400170356,,30.23949020029977,30.255373400170356,30.755751700140536,30.755751700140536,30.755751700140536,31.07132920017466,31.172176300082356,right,1.0,1,1,0.4148164000362158,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
30,0.5,1.0,31.188532900065184,,31.172352800145745,31.188532900065184,31.67076240014285,31.67076240014285,31.703801600262523,31.97131650010124,32.221952700056136,left,-1.0,0,0,0.5394367999397218,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
31,0.5,1.5,32.2371479999274,,32.22213280014694,32.2371479999274,32.73861260013655,32.73861260013655,32.73861260013655,33.053814799990505,33.38749770028517,left,-1.5,1,1,0.6341991000808775,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
32,0.5,1.5,33.40363930026069,,33.387689100112766,33.40363930026069,33.88733440032229,33.88733440032229,33.90396249992773,34.186746099963784,34.45366139989346,left,-1.5,0,0,0.5553362001664937,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
33,0.5,2.0,34.46951470011845,,34.45383850019425,34.46951470011845,34.969610000029206,34.969610000029206,34.969610000029206,35.26929990015924,35.45334460027516,right,2.0,1,1,0.46853499999269843,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
34,0.5,2.0,35.46970089990646,,35.453517000190914,35.46970089990646,35.952350300271064,35.952350300271064,35.96931149996817,36.252161799930036,36.57028920017183,left,-2.0,1,1,0.6034900001250207,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
35,0.5,2.0,36.58543850015849,,36.57052000006661,36.58543850015849,37.08634730009362,37.08634730009362,37.08634730009362,37.402025000192225,37.56960460031405,right,2.0,1,1,0.47482920018956065,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
36,0.5,1.5,37.58541260007769,,37.56978560006246,37.58541260007769,38.08474690001458,38.08474690001458,38.08474690001458,38.38514479994774,38.58562979986891,left,-1.5,0,0,0.49254450015723705,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
37,0.5,2.0,38.60148630011827,,38.58582179993391,38.60148630011827,39.10135450027883,39.10135450027883,39.10135450027883,39.40260630007833,39.53522439999506,right,2.0,1,1,0.43002159986644983,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
38,0.5,2.0,39.55211069993675,,39.53539490001276,39.55211069993675,40.034674800001085,40.034674800001085,40.0507171000354,40.33381080022082,40.568501099944115,right,2.0,1,1,0.5303862998262048,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
39,0.5,2.0,40.58452680008486,,40.56870820000768,40.58452680008486,41.08339070016518,41.08339070016518,41.08339070016518,41.38354970002547,41.53416020004079,right,2.0,1,1,0.439013599883765,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
40,0.5,1.5,41.55024480028078,,41.53435860015452,41.55024480028078,42.0339577998966,42.0339577998966,42.05050260014832,42.333338300231844,42.684027099981904,left,-1.5,0,0,0.6482211998663843,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
41,0.5,2.0,42.70014759991318,,42.68420109990984,42.70014759991318,43.1994868000038,43.1994868000038,43.1994868000038,43.49929070007056,44.016631400212646,left,-2.0,1,1,0.8085845001041889,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
42,0.5,2.0,44.0322397002019,,44.01679980009794,44.0322397002019,44.53221599990502,44.53221599990502,44.53221599990502,44.83195490017533,45.1501309000887,left,-2.0,1,1,0.6143105998635292,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
43,0.5,2.0,45.165441799908876,,45.15032120002434,45.165441799908876,45.665122400037944,45.665122400037944,45.665122400037944,45.965416400227696,46.3490112000145,left,-2.0,1,1,0.6704063001088798,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
44,0.5,1.5,46.36484090005979,,46.349222499877214,46.36484090005979,46.86475080018863,46.86475080018863,46.86475080018863,47.16714380029589,47.33196499990299,left,-1.5,0,0,0.4644344998523593,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
45,0.5,2.0,47.34770209994167,,47.33213930018246,47.34770209994167,47.847219000104815,47.847219000104815,47.847219000104815,48.14700679993257,48.447608900256455,left,-2.0,1,1,0.5950565999373794,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
46,0.5,2.0,48.463661999907345,,48.44777880003676,48.463661999907345,48.947341800201684,48.947341800201684,48.96343640005216,49.24630440026522,49.481314999982715,left,-2.0,1,1,0.5247847000136971,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
47,0.5,2.0,49.49682389991358,,49.48150540003553,49.49682389991358,49.99622550001368,49.99622550001368,49.99622550001368,50.29671490006149,50.4638935001567,right,2.0,1,1,0.45732839964330196,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
48,0.5,1.5,50.47950130002573,,50.464144200086594,50.47950130002573,50.96322950022295,50.96322950022295,50.980240600183606,51.26306889997795,51.67967069987208,left,-1.5,0,0,0.7034249003045261,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
